2019-02-19_10 10:30:30.509 INFO  [Thread-57] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application unknown with eureka with status DOWN
2019-02-19_10 10:30:30.766 INFO  [Thread-64] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@75459c75: startup date [Mon Feb 18 14:41:44 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@37f1104d
2019-02-19_10 10:30:30.882 INFO  [Thread-57] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-02-19_10 10:30:30.890 INFO  [Thread-57] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-02-19_10 10:30:31.054 INFO  [Thread-51] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@75459c75: startup date [Mon Feb 18 14:42:00 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@37f1104d
2019-02-19_10 10:30:31.066 INFO  [Thread-64] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-02-19_10 10:30:31.100 WARN  [Thread-64] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1550543431098, current=DOWN, previous=UP]
2019-02-19_10 10:30:31.130 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001: registering service...
2019-02-19_10 10:30:31.203 INFO  [Thread-64] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-02-19_10 10:30:31.261 INFO  [Thread-64] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-02-19_10 10:30:31.401 INFO  [Thread-51] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-02-19_10 10:30:31.443 INFO  [http-nio-7002-exec-10] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 with status DOWN (replication=false)
2019-02-19_10 10:30:31.423 WARN  [Thread-51] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1550543431407, current=DOWN, previous=UP]
2019-02-19_10 10:30:31.516 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002: registering service...
2019-02-19_10 10:30:31.525 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - registration status: 204
2019-02-19_10 10:30:31.561 INFO  [Thread-79] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-19_10 10:30:31.587 INFO  [Thread-51] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-02-19_10 10:30:31.664 INFO  [Thread-51] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-02-19_10 10:30:31.680 INFO  [http-nio-7002-exec-1] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 with status DOWN (replication=false)
2019-02-19_10 10:30:31.686 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 - registration status: 204
2019-02-19_10 10:30:31.738 INFO  [Thread-71] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-19_10 10:30:31.805 INFO  [Thread-34] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@75459c75: startup date [Mon Feb 18 14:42:12 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@37f1104d
2019-02-19_10 10:30:31.839 INFO  [Thread-57] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-19_10 10:30:31.872 INFO  [http-nio-7002-exec-4] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 (replication=false)
2019-02-19_10 10:30:32.005 INFO  [Thread-64] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - deregister  status: 200
